ds,yhat
2026-01-01,0.6686321520219245
2026-01-02,0.6628215418317287
2026-01-03,0.6627196514673243
2026-01-04,0.6627178647967306
2026-01-05,0.6627178334670575
2026-01-06,0.6627178329176846
2026-01-07,0.6627178329080512
2026-01-08,0.6627178329078822
2026-01-09,0.6627178329078792
2026-01-10,0.6627178329078792
2026-01-11,0.6627178329078792
2026-01-12,0.6627178329078792
2026-01-13,0.6627178329078792
2026-01-14,0.6627178329078792
2026-01-15,0.6627178329078792
2026-01-16,0.6627178329078792
2026-01-17,0.6627178329078792
2026-01-18,0.6627178329078792
2026-01-19,0.6627178329078792
2026-01-20,0.6627178329078792
2026-01-21,0.6627178329078792
2026-01-22,0.6627178329078792
2026-01-23,0.6627178329078792
2026-01-24,0.6627178329078792
2026-01-25,0.6627178329078792
2026-01-26,0.6627178329078792
2026-01-27,0.6627178329078792
2026-01-28,0.6627178329078792
2026-01-29,0.6627178329078792
2026-01-30,0.6627178329078792
